upstream,downstream
62,2165
62,3828
62,11189
62,14032
62,18689
62,23165
62,36328
62,36607
62,46204
62,46696
62,53305
62,393587
62,395268
62,397768
62,398492
62,400537
62,400615
270,7847
549,239
549,802
549,10265
549,19350
549,32156
549,46626
714,6185
835,923
835,30654
835,40846
835,205212
835,211444
964,213073
983,134413
1237,9489
1237,38426
1256,32559
1256,396086
1256,396128
2527,9600
2734,20304
2734,54525
2860,51171
2860,199130
3223,896
3223,3164
3223,31829
3223,41541
3223,47915
3223,54500
3223,196763
3223,199548
3223,211428
3223,212649
3223,212927
3243,9118
3243,34873
3269,5609
3269,12505
3269,12515
3269,15746
3269,24869
3269,35110
3269,47473
3269,60559
3269,202500
3269,203150
3269,204431
3269,204795
3269,206498
3269,208017
3269,208296
3269,209572
3269,212680
3303,60059
3303,202360
3326,12706
3326,21219
3326,39468
3326,43163
3326,197681
3329,12361
3329,35459
3329,50501
3477,2648
3477,3635
3477,5744
3477,6629
3477,12076
3477,33343
3477,40623
3662,4158
3662,4528
3662,7651
3755,3629
3816,267691
3816,267799
3855,36549
4136,2725
4136,11823
4515,9906
4515,24002
4515,131184
4515,131234
4515,132549
4515,133783
4515,138921
4515,150290
4538,138378
4609,138164
4618,7588
4618,23644
4618,24453
4618,38184
4618,45537
4618,45752
4755,9752
4755,17820
4755,23658
4755,23984
4755,38015
4755,45955
4755,55804
4755,56114
4755,58967
4755,59162
4755,132415
4755,132754
4755,132974
4755,133003
4755,133648
4755,133981
4755,134259
4755,134308
4755,134319
4755,134325
4755,134337
4755,134886
4755,134916
4755,134929
4755,134942
4755,134946
4755,135259
4755,135697
4755,135716
4755,135738
4755,135746
4755,136280
4755,136286
4755,136289
4755,136644
4755,136682
4755,136926
4755,136987
4755,137109
4755,137128
4755,137605
4755,137627
4755,137648
4755,137836
4755,138315
4755,138777
4755,139479
4755,139916
4755,140175
4755,141285
4755,141519
4755,142509
4755,142524
4755,146863
4755,146907
4755,147195
4755,149185
4755,149526
4755,149584
4755,149781
4755,150589
4755,150596
4755,151724
4764,7703
4764,17720
4764,55564
4764,131999
4764,135073
4764,137251
4764,138502
4764,138633
4764,150343
4770,4831
4808,9802
4808,37970
4808,59012
4808,131497
4808,137764
4847,9803
4847,18245
4847,63629
5056,8000
5056,11698
5056,13356
5056,16824
5056,18519
5056,19628
5056,20131
5056,20273
5056,33690
5056,36358
5056,62825
5056,63152
5056,395876
5056,396443
5056,397305
5056,397446
5056,399559
5056,399617
5056,400706
5403,3190
5403,199216
5518,15827
5518,25107
5518,34001
5518,35182
5518,35809
5518,44483
5518,47499
5518,47570
5518,57318
5518,211838
5580,3291
5606,47848
6057,264845
6057,265349
6057,270462
6922,1970
6922,3354
6922,10812
6922,11481
6922,13998
6922,14373
6922,16461
6922,16600
6922,26971
6922,27594
6922,36450
7303,10481
7303,10697
7303,27768
7303,27895
7303,27926
7303,27967
7303,27971
7303,52296
7303,52312
7303,52481
7303,52486
7303,64117
7303,264618
7303,264715
7303,264752
7303,264781
7303,264808
7303,265630
7303,265648
7303,265686
7303,265719
7303,265729
7303,265744
7303,265749
7303,265800
7303,265843
7303,265877
7303,266656
7303,266769
7303,267751
7303,267854
7303,267875
7303,267876
7303,267889
7303,269874
7303,269952
7303,269987
7303,270011
7303,270077
7303,271832
7303,271984
7470,4274
7470,17552
7470,17556
7470,55790
7470,132061
7470,132172
7470,133907
7470,139724
7545,133612
7562,7623
7562,9319
7562,9569
7562,9762
7562,9981
7562,10175
7562,23584
7753,10377
8001,994
8001,40715
8151,3548
8151,3905
8151,6332
8151,7173
8151,7399
8151,7408
8151,8140
8151,16762
8151,19373
8151,26595
8151,26620
8151,28390
8151,28391
8151,28403
8151,28417
8151,28553
8151,28563
8151,262925
8151,263149
8262,12829
8262,34395
8262,35480
8262,41017
8262,41703
8262,44886
8262,51189
8262,57237
8262,61082
8262,207144
8262,211545
8452,36870
8452,37066
8452,329132
8489,2861
8551,35243
8551,35532
8551,51336
8551,56596
8551,57666
8551,201857
8551,204763
8551,208031
8551,209472
8560,38955
8560,202108
8641,20817
8641,39125
8641,41127
8641,41892
8641,43024
8641,44881
8641,49377
8641,56574
8641,56888
8641,59575
8641,198602
8641,198976
8641,199145
8641,199214
8641,204941
8641,205754
8641,212006
8641,212092
8641,216119
8676,8356
8866,8795
8866,9127
8866,13236
8866,29122
8866,31250
8866,34674
8866,49330
8866,49850
8866,57840
8866,196876
8866,201384
8866,201583
8866,202690
8866,207371
8881,16001
8881,38988
8881,207776
8985,44554
8985,48389
8985,50687
8985,61043
8985,199009
9050,6693
9050,30948
9050,31038
9050,34415
9050,34551
9050,34560
9050,35351
9050,35386
9050,35726
9050,39903
9050,41534
9050,41859
9050,43224
9050,43473
9050,44081
9050,44157
9050,49021
9050,49150
9050,49266
9050,50402
9050,50424
9050,50991
9050,51102
9050,51177
9050,51854
9050,56750
9050,57180
9050,57647
9050,58043
9050,58170
9050,59784
9050,60905
9050,60907
9050,61279
9050,204156
9050,206382
9070,12591
9070,47928
9070,48900
9070,49226
9145,211784
9286,9639
9304,17540
9304,17793
9304,38802
9304,136472
9304,139914
9304,151616
9381,139805
9381,201223
9457,17867
9498,7593
9498,9730
9498,9836
9498,10121
9498,18120
9498,23994
9498,24003
9498,24103
9498,24327
9498,24448
9498,24501
9498,24560
9498,38185
9498,38188
9498,38271
9498,38306
9498,38834
9498,38872
9498,45139
9498,45232
9498,45417
9498,45526
9498,45609
9498,45765
9498,55428
9498,55459
9498,56268
9498,58522
9498,58590
9498,59169
9498,131190
9498,132108
9498,132349
9498,132445
9498,132523
9498,132567
9498,132570
9498,132771
9498,132878
9498,132922
9498,132970
9498,133025
9498,133280
9498,133285
9498,133684
9498,133708
9498,133999
9498,134011
9498,134017
9498,134041
9498,134050
9498,134260
9498,134295
9498,134311
9498,134322
9498,134341
9498,134430
9498,134475
9498,134556
9498,134867
9498,134874
9498,134918
9498,134975
9498,135181
9498,135192
9498,135197
9498,135206
9498,135235
9498,135719
9498,135740
9498,135761
9498,135763
9505,10126
9924,4662
9924,18415
9924,18429
9924,24157
9924,24158
9924,24163
9924,24164
9924,24165
9924,38841
9924,131148
10075,132169
10075,132339
10075,132575
10075,136262
10075,136999
10075,137013
10075,137033
10075,137255
10075,137961
10075,138574
10075,138912
10075,139602
10075,139924
10075,140541
10075,140916
10075,141404
10075,146990
10075,147050
10075,147070
10075,148794
10075,149162
10075,149295
10075,149505
10075,149988
10075,150170
10075,150319
10075,150667
10075,151809
10075,152304
10075,152585
10094,131467
10094,133875
10111,151419
10310,5779
10310,10230
10310,14196
10310,14776
10310,14777
10310,14779
10310,14780
10310,16515
10310,18293
10310,26085
10310,26101
10310,28122
10310,34010
10310,36088
10310,36229
10310,36646
10310,36647
10310,36752
10310,38032
10310,43428
10310,45501
10310,56173
10310,203070
10310,203219
10310,203220
10310,393245
10429,11706
10429,28253
10429,269562
10474,12258
10886,268
11081,27734
11272,26949
11403,11784
11403,62576
11492,11976
11492,36303
11492,397616
11492,398275
11492,399215
11492,400329
11562,11694
12129,10915
12129,15154
12129,16556
12129,22878
12129,32002
12129,32477
12129,33488
12129,36197
12129,53263
12129,53505
12129,54163
12129,55138
12129,62606
12129,393665
12129,394004
12129,394160
12129,394960
12129,398233
12129,401307
12400,8948
12400,20623
12400,212361
12552,35565
12552,43036
12552,49172
12552,202780
12552,203192
12552,203625
12552,208721
12695,8592
12695,15867
12695,43297
12695,47270
12695,47839
12695,48552
12695,49400
12695,50955
12695,51229
12695,56536
12695,201009
12695,201186
12695,204703
12695,207209
12695,210553
12695,211866
12695,212095
12732,8875
12732,15731
12735,31704
12735,47190
12978,8721
13335,1958
13335,1983
13335,4373
13335,4892
13335,9011
13335,9554
13335,10666
13335,11054
13335,11082
13335,11207
13335,11298
13335,11374
13335,11466
13335,11744
13335,12273
13335,13038
13335,13461
13335,14197
13335,14582
13335,14948
13335,15299
13335,15361
13335,16363
13335,16501
13335,16778
13335,16973
13335,17076
13335,17170
13335,17351
13335,18030
13335,18787
13335,18833
13335,19208
13335,19225
13335,19458
13335,19780
13335,19829
13335,19993
13335,20775
13335,21203
13335,21651
13335,21765
13335,22445
13335,22803
13335,23010
13335,23145
13335,23235
13335,23291
13335,23891
13335,25889
13335,25913
13335,26534
13335,26915
13335,27401
13335,27515
13335,27681
13335,27811
13335,28064
13335,29689
13335,30276
13335,30620
13335,31629
13335,33282
13335,33627
13335,34350
13335,34451
13335,35733
13335,36376
13335,36406
13335,37523
13335,37587
13335,37999
13335,39472
13335,39532
13335,40875
13335,42479
13335,42875
13335,43243
13335,43570
13335,43794
13335,43868
13335,43916
13335,44298
13335,44586
13335,46362
13335,46469
13335,46568
13335,46739
13335,46994
13335,47828
13335,48703
13335,50152
13335,50756
13335,52269
13335,52372
13335,53410
13335,54023
13335,54321
13335,54420
13335,54574
13335,54732
13335,55064
13335,55383
13335,55504
13335,55532
13335,55956
13335,56811
13335,58654
13335,58789
13335,58909
13335,59874
13335,59907
13335,60933
13335,62053
13335,62659
13335,62763
13335,63185
13335,63248
13335,64113
13335,64231
13335,131254
13335,132571
13335,132898
13335,133013
13335,133346
13335,133969
13335,134145
13335,134589
13335,135160
13335,136133
13335,138626
13335,139830
13335,139886
13335,142269
13335,147008
13335,147304
13335,152594
13335,197086
13335,197208
13335,197788
13335,198032
13335,198321
13335,198881
13335,199942
13335,200422
13335,200692
13335,201026
13335,201755
13335,201839
13335,202595
13335,203092
13335,204257
13335,204341
13335,204588
13335,205282
13335,205615
13335,206998
13335,207245
13335,208887
13335,209120
13335,209242
13335,209299
13335,211054
13335,211140
13335,211431
13335,211526
13335,211844
13335,212102
13335,212606
13335,213129
13335,215429
13335,264763
13335,273584
13335,327888
13335,327988
13335,328041
13335,329068
13335,393347
13335,393409
13335,394930
13335,395989
13335,397076
13335,397273
13335,397308
13335,397341
13335,397562
13335,398382
13335,398561
13335,399004
13335,399314
13335,399358
13335,399532
13335,399566
13335,399612
13335,400797
13428,11789
13428,40926
13876,11238
13876,47061
13876,62893
13876,399290
13984,5702
13984,23137
13984,36614
13984,54238
13984,63031
14080,263731
14230,393939
14333,399332
15440,8314
15440,34842
15440,44771
15440,61091
15440,203098
15440,209989
15440,210126
15440,212853
15493,44847
15493,56405
15493,208774
15525,43990
15525,44785
15735,5532
15735,35356
15830,8942
15830,14886
15830,16397
15830,16553
15830,27566
15830,41243
15830,42326
15830,44292
15830,47886
15830,53976
15830,60760
15830,132000
15830,136584
15830,140148
15830,197385
15830,201855
15830,202455
15830,202459
15830,204698
15830,205875
15830,207481
15830,207523
15830,211280
15830,212656
15830,213087
15830,215227
15830,215299
15830,266474
15830,270314
15830,400551
15836,211180
15964,36912
16143,3179
16164,24380
16504,395490
16807,706
16814,7340
16814,27691
16814,27692
16814,27969
16814,52283
16814,262264
16814,264743
16814,266660
16814,267710
16814,269766
16814,273044
16842,2886
17054,15055
17054,15327
17054,32525
17054,35895
17054,53298
17054,393441
17054,398581
17378,3700
17378,11180
17378,11194
17378,11288
17378,17352
17378,18639
17378,20462
17378,21913
17378,22271
17378,23183
17378,23357
17378,23469
17378,26936
17378,32373
17378,35946
17378,36745
17378,36842
17378,40363
17378,40476
17378,46740
17378,46761
17378,46848
17378,53495
17378,53528
17378,53674
17378,55045
17378,62889
17378,63189
17378,393344
17378,393554
17378,394428
17378,394457
17378,395204
17378,397794
17378,400713
17439,134937
17501,150131
17557,24499
17557,56167
17766,133510
17766,137025
18229,45884
18530,10557
18530,399524
18734,13440
18734,13579
18734,20173
18734,28429
18734,28457
18734,28477
18734,28505
18734,28525
18734,28530
18734,28533
18734,28534
18734,28535
18734,28536
18734,28537
18734,28538
18734,28543
18734,28544
18734,28557
18734,265505
18734,265545
18734,265603
18734,270124
18734,270161
18809,14709
19050,22828
19050,26810
19257,54484
19905,11313
19905,13688
19905,14738
19905,31446
19905,36544
19905,42223
19905,47448
19905,201461
20448,393945
20473,9920
20473,18750
20473,22649
20473,23476
20473,29529
20632,48853
20632,57451
20632,198955
20632,201913
20712,12613
20712,48901
20712,199165
20751,12971
21723,63003
22573,32815
22742,3481
22742,13796
22742,29867
22742,394655
22927,11311
22927,52361
22927,264685
22927,265736
22927,265741
22927,265793
22927,265860
22927,266684
22927,269739
22927,273076
23243,52362
23248,11970
23248,27197
23900,17804
25159,8263
25159,24866
25159,47783
25159,201788
25159,202674
25400,41164
25454,8917
25454,31204
25454,43818
25454,43870
25454,43925
25454,44388
25454,61077
25454,62232
25454,62337
25454,208299
25515,8557
25515,49261
25645,399060
25956,1606
25956,11012
25956,11215
25956,53659
27325,7905
27325,30312
27843,265691
28118,12066
28146,61880
28910,41202
28910,49273
28910,59668
28910,64466
28910,201767
28910,209033
29933,30718
29933,400669
30001,10653
30336,11601
30336,21925
30456,26863
30456,40654
30456,135004
30456,211339
30456,400758
30823,205787
30990,37563
31133,25159
31133,31163
31133,41102
31133,43264
31133,202852
31133,212206
31898,792
31898,1215
31898,1216
31898,1217
31898,4184
31898,18916
31898,20037
31898,23885
31898,38538
31898,136025
31898,206209
32298,12096
32298,397012
32425,16636
32787,4410
32787,7486
32787,7550
32787,8012
32787,9590
32787,11336
32787,11811
32787,12134
32787,14822
32787,14920
32787,14959
32787,15953
32787,16282
32787,16419
32787,16490
32787,17282
32787,18715
32787,18801
32787,18851
32787,20004
32787,20506
32787,20695
32787,23084
32787,23098
32787,24462
32787,25053
32787,25323
32787,26646
32787,26937
32787,27163
32787,27205
32787,29816
32787,29982
32787,31612
32787,31971
32787,32577
32787,33121
32787,34184
32787,34216
32787,37339
32787,40260
32787,41214
32787,42050
32787,43876
32787,44485
32787,44931
32787,45153
32787,46342
32787,46381
32787,46447
32787,53704
32787,54775
32787,55055
32787,58414
32787,59967
32787,63067
32787,63418
32787,131232
32787,132713
32787,133546
32787,138463
32787,141690
32787,149840
32787,199379
32787,199926
32787,201958
32787,204400
32787,205607
32787,206289
32787,207377
32787,209995
32787,212132
32787,394359
32787,395098
32787,395402
32787,395609
32787,396173
32787,397146
32787,398841
32787,400227
33576,13771
33576,27653
33576,27660
33576,27800
33576,32020
33576,33582
33576,35900
33576,40786
33576,40945
33576,48252
33576,52398
33576,264645
33576,394311
33576,395561
33576,396304
33576,396357
33576,399724
33991,8496
33991,43238
34224,2111
34224,21337
34224,25224
34224,28819
34224,60701
34224,197604
34224,197625
34224,198283
34224,198940
34224,199898
34224,211277
34465,328711
34772,8830
34772,43227
34772,44021
34772,44566
34772,57374
34772,205347
34772,210865
34984,9074
34984,15755
34984,31365
34984,35331
34984,42193
34984,42868
34984,44274
34984,51557
34984,51729
34984,56643
34984,56650
34984,60146
34984,196733
34984,198511
34984,202130
34984,202924
34984,205768
34984,207629
34984,209088
34984,211496
34984,216146
35132,6829
35132,197212
35168,206026
35346,43094
35346,57916
35805,42082
36086,6943
36086,13578
36086,36272
36086,40594
36086,46806
36086,62634
36086,197560
36236,6838
36236,14058
36236,17095
36236,205252
36236,399766
36327,11470
36327,32683
36327,54066
36549,16705
36549,21744
36724,1646
37284,329129
37545,37336
38731,140742
38800,55885
39153,44619
39153,57571
40260,10531
40676,46505
40676,59598
40676,62633
40676,64056
40676,398397
40676,399546
40676,399661
41635,209537
41913,5529
41913,60384
42313,42409
42548,9157
43201,8753
43201,30822
43201,50106
43201,51511
43201,57549
43201,60287
43201,208890
43201,213375
44306,59522
44539,9131
44539,52131
44539,62360
45117,38021
45117,38053
45117,133977
45117,134045
45117,134290
45117,135185
45117,136298
45117,136340
45117,136343
45117,136634
45117,136673
45117,137586
45117,137658
45117,137684
45117,138012
45117,138244
45117,138292
45117,139553
45117,140201
45117,141262
45117,147278
45117,149171
45117,149531
45117,150022
45117,150603
45117,151709
45117,152512
45117,152518
45177,135606
45355,38198
45355,132429
45430,131445
45430,133481
45495,45935
45820,132746
45820,133282
45820,134294
45820,135696
45820,135709
45820,136364
45820,136449
45820,136637
45820,136657
45820,137683
45820,140124
45820,140189
45820,141286
45820,141798
45820,141807
45820,141814
45820,142485
45820,150096
45820,150607
46455,12056
46455,16934
46455,29843
46455,33038
46455,46238
46455,63178
46506,6337
46632,1010
46632,19471
46632,393622
46632,400457
47237,50251
47377,201189
47377,207467
47569,6699
49063,6761
49063,39697
49063,56398
49063,57857
49063,59452
49063,61178
49063,61375
49063,198762
49063,199420
49063,203444
52376,52500
52389,28104
52468,3790
52468,28058
52468,52242
52468,61484
52468,262207
52468,263215
52468,263246
52468,263698
52468,263751
52468,263760
52468,263761
52468,263852
52468,264621
52468,264696
52468,265319
52468,265650
52468,265797
52468,265861
52468,266686
52468,266828
52468,266858
52468,267761
52468,269729
52468,269737
52468,269830
52468,269884
52468,269934
52468,269976
52468,269989
52468,270088
52468,271357
52468,271781
52468,271851
52468,272000
52468,272037
52468,272818
52468,272929
52468,273022
52468,273145
52468,273218
52468,273238
52468,395715
52531,61839
54004,836
54004,10985
54004,11243
54004,17278
54004,18794
54004,22249
54004,22345
54004,22405
54004,26707
54004,27519
54004,30416
54004,30527
54004,33381
54004,36399
54004,46104
54004,46351
54004,54323
54004,63378
54301,10388
54874,970
55002,5411
55002,6951
55002,10390
55002,11121
55002,13450
55002,14021
55002,16072
55002,21474
55002,30037
55002,34699
55002,35006
55002,41461
55002,41751
55002,43534
55002,44138
55002,46830
55002,61999
55002,196990
55002,198573
55002,395143
55002,396367
55002,398144
55330,45178
55410,138238
55685,24519
55685,63506
55685,136827
55685,137359
55685,138072
55685,139973
55685,149697
55685,149917
55685,152076
55811,139002
57344,202463
58470,45669
58717,59340
58717,131242
58717,131247
58717,131340
58717,131686
58717,132290
58717,132294
58717,133770
58717,133945
59605,42961
60068,43233
60068,62651
60068,64271
60068,131477
60068,133944
60068,134492
60068,149428
60068,197946
60068,198825
60068,202496
60068,206092
60068,206150
60068,210030
60068,212144
60068,216213
60068,265517
60587,13026
60587,42539
60587,44363
60587,50657
60587,50718
60587,50719
60587,50721
60587,62276
60587,203358
60587,204099
60587,207219
60587,207528
60587,207828
60587,210295
60725,45168
60793,8789
61010,51898
61010,61399
132528,38800
132779,1037
132779,59187
132779,133694
132779,135752
132779,135868
132779,136375
132779,137156
132779,140155
132779,141302
132779,141333
132779,142464
132779,149577
132779,150075
132779,152510
133296,137681
134090,7647
134090,59256
134090,140728
134090,140933
134090,147000
135409,10025
135409,141764
136557,142116
136557,142275
137409,152699
137409,394489
138466,7716
138466,135106
138466,140505
138572,10023
196925,39232
197071,34933
197071,59752
199414,216249
199578,9020
199599,8515
199599,13165
199599,35178
199599,42972
199599,47125
199599,56351
199599,56842
199599,60944
199599,202009
199599,211247
201706,35083
202766,201234
262206,17079
262206,27773
262476,269393
327708,327707
327903,36988
327903,328297
328605,328755
395368,11408
396926,10546
396926,25656
396926,395073
396926,398443
396926,398449
396926,398829
397720,6598
398465,9087
398465,211936
401307,393581
401307,399363
